web-scraper-order,web-scraper-start-url,link,link-href,title,price,ratings,num_rates,screen_size,refresh_rate,chipset,GPU,sim_slot,RAM,internal_storage,battery,operating_system,type
1742967363-1,https://cellphones.com.vn/mobile.html,"ASUS ROG Phone 6 Mediatek 6.78 inches12 GB256 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/asus-rog-phone-6-mediatek.html,ASUS ROG Phone 6 Mediatek,,,,6.78 inches,,MediaTek Dimensity 7000 Series,Adreno ™ 730,2 SIM (Nano-SIM),12 GB,256 GB,6000 mAh,Android 12,https://cellphones.com.vn/mobile/asus.html
1742967371-2,https://cellphones.com.vn/mobile.html,"ASUS ROG Phone 6 12GB 256GB 6.78 inches12 GB256 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      14.490.000đ
     
        18.990.000đ
       
          Giảm 24%",https://cellphones.com.vn/asus-rog-phone-6-12gb-256gb.html,ASUS ROG Phone 6 12GB 256GB,14.490.000 đ,5.0/5,20,6.78 inches,,Qualcomm ® Snapdragon ® 8+ thế hệ 1,Adreno ™ 730,2 SIM (Nano-SIM),12 GB,256 GB,6000 mAh,Android 12,https://cellphones.com.vn/mobile/asus.html
1742967382-3,https://cellphones.com.vn/mobile.html,"BENCO V91 4GB 128GB  
          Sắp về hàng Trả góp 0%  
    :
   
      2.690.000đ
        Smember giảm thêm
            đến 27.000đ  Quyền lợi bảo hành Vip 12 tháng 1 đổi 1 tại CellphoneS",https://cellphones.com.vn/dien-thoai-benco-v91.html,BENCO V91 4GB 128GB,2.690.000₫,5.0/5,1,6.56 inches,Tần số quét 90Hz,Unisoc T606,,2 SIM (Nano-SIM),4GB + Mở rộng 4GB,128 GB,5000mAh,Android 13,https://cellphones.com.vn/mobile/benco.html
1742967390-4,https://cellphones.com.vn/mobile.html,"Benco S1 Pro 8GB 256GB   Trả góp 0%  
    :
   
      4.290.000đ
        Smember giảm thêm
            đến 43.000đ  
              Trả góp 0% lãi suất, không trả trước, không phụ phí qua Shinhan Finance",https://cellphones.com.vn/dien-thoai-benco-s1-pro.html,Benco S1 Pro 8GB 256GB,4.290.000₫,,,6.8 inches,,Unisoc T616,Mali-G57,2 SIM (Nano-SIM),8GB + Mở rộng 8GB,256 GB,5000mAh,Android 13,https://cellphones.com.vn/mobile/benco.html
1742967402-5,https://cellphones.com.vn/mobile.html,"INOI A83 6GB 128GB 6.52 inches6 GB128 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/dien-thoai-inoi-a83.html,INOI A83 6GB 128GB,Giá liên hệ,,,6.52 inches,,Unisoc T606,,2 SIM (Nano-SIM),6 GB,128 GB,4000 mAh,Android 12,https://cellphones.com.vn/mobile/inoi.html
1742967411-6,https://cellphones.com.vn/mobile.html,"INOI 288S 4G 2.0 inches 
          Hết hàng Trả góp 0%  
    :
   
      1.000.000đ
     
        1.190.000đ
       
          Giảm 16%
           Smember giảm thêm
            đến 10.000đ  Quyền lợi bảo hành Vip 12 tháng 1 đổi 1 tại CellphoneS",https://cellphones.com.vn/dien-thoai-inoi-288s.html,INOI 288S 4G,1.000.000₫,5.0/5,1,2.0 inches,,,,2 SIM (Nano-SIM),,,1000 mAh,,https://cellphones.com.vn/mobile/inoi.html
1742967420-7,https://cellphones.com.vn/mobile.html,"INOI Note 13s 8GB 256GB 6.95 inches8 GB256 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      2.790.000đ
     
        3.390.000đ
       
          Giảm 18%
           Smember giảm thêm
            đến 28.000đ",https://cellphones.com.vn/dien-thoai-inoi-note-13s.html,INOI Note 13s 8GB 256GB,2.790.000₫,5.0/5,2,6.95 inches,,Unisoc T606,,2 SIM (Nano-SIM),8 GB,256 GB,"5,000 mAh",Android 13,https://cellphones.com.vn/mobile/inoi.html
1742967431-8,https://cellphones.com.vn/mobile.html,"TCL 50SE 6.78 inches6GB + Mở rộng 6GB256 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/dien-thoai-tcl-50se.html,TCL 50SE,,,,6.78 inches,"396PPI, Độ tương phản 1500: 1, Gam màu NTSC 96%, 450 nits, Hạn chế ánh sáng xanh
 Tần số quét 90Hz",Mediatek Helio G88 (12nm),Mali-G52 MC2,2 SIM (Nano-SIM),6GB + Mở rộng 6GB,256 GB,5010 mAh,Android 14,https://cellphones.com.vn/mobile/tcl.html
1742967441-9,https://cellphones.com.vn/mobile.html,"TCL 505 6.75 inches4GB + Mở rộng 4GB128 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/dien-thoai-tcl-505.html,TCL 505,,,,6.75 inches,,Mediatek Helio G88 (12nm),IMG GE8320 680MHz,2 SIM (Nano-SIM),4GB + Mở rộng 4GB,128 GB,5010 mAh,Android 14,https://cellphones.com.vn/mobile/tcl.html
1742967449-10,https://cellphones.com.vn/mobile.html,"TCL 406S 4GB 64GB 6.6 inches4 GB64 GB 
          Hết hàng Trả góp 0%  
    :
   
      1.990.000đ
        Smember giảm thêm
            đến 20.000đ  PMH100,000 ₫",https://cellphones.com.vn/dien-thoai-tcl-406s.html,TCL 406S 4GB 64GB,1.990.000₫,,,6.6 inches,,Helio G25,IMG GE8320 @ 650 MHz,2 SIM (Nano-SIM),4 GB,64 GB,5000 mAh,Android 13,https://cellphones.com.vn/mobile/tcl.html
