Mùa giải,Tên đội,Tên cầu thủ,Số bàn thắng,Số pha rê bóng thành công,Số pha tắc bóng,Số pha kiến tạo,Tỉ lệ chuyền chính xác,Điểm TB (SofaScore)
23/24,Barcelona,Robert Lewandowski,5,3,5,0,68.29,7.98
23/24,Paris Saint-Germain,Lionel Messi,4,14,4,4,87.37,7.93
23/24,Borussia Dortmund,Gregor Kobel,0,0,0,0,74.42,7.83
23/24,Benfica,Henrique Araújo,1,0,0,0,83.33,7.80
23/24,FC Bayern München,Joshua Kimmich,1,3,19,3,91.19,7.77
23/24,FC Bayern München,Lucas Hernández,1,1,3,0,88.06,7.75
23/24,Liverpool,Mohamed Salah,8,9,3,2,85.37,7.70
23/24,Atlético Madrid,Felipe,0,0,4,0,85.19,7.70
23/24,FC Porto,Mehdi Taremi,5,3,8,2,73.99,7.66
23/24,Manchester City,Kevin De Bruyne,2,10,9,6,77.71,7.61
23/24,Red Bull Salzburg,Fernando,0,1,1,1,90,7.60
23/24,Juventus,Ángel Di María,0,4,1,3,75.38,7.57
23/24,FC Bayern München,Manuel Neuer,0,0,0,0,80.19,7.57
23/24,Paris Saint-Germain,Kylian Mbappé,7,17,0,3,80.47,7.53
23/24,FC Porto,Diogo Costa,0,0,0,1,70.36,7.53
23/24,Milan,Ciprian Tătărușanu,0,0,0,0,76.58,7.48
23/24,Chelsea,Jorginho,1,4,14,0,93.3,7.47
23/24,FC Bayern München,Leroy Sané,4,10,10,1,85.54,7.45
23/24,Paris Saint-Germain,Neymar,2,14,3,2,85.79,7.45
23/24,Liverpool,Konstantinos Tsimikas,0,4,5,2,78.23,7.45
23/24,FC København,Kamil Grabara,0,0,0,0,57.94,7.43
23/24,Club Brugge KV,Simon Mignolet,0,0,0,0,71.33,7.41
23/24,Napoli,Giovanni Di Lorenzo,2,8,18,2,85.66,7.41
23/24,Manchester City,Erling Haaland,12,12,1,1,74.59,7.41
23/24,Manchester City,Rúben Dias,1,3,26,0,95.07,7.41
23/24,Inter,André Onana,0,0,0,0,74.89,7.41
23/24,Napoli,Giacomo Raspadori,4,0,4,3,80.81,7.40
23/24,Napoli,Piotr Zieliński,4,8,8,2,87.09,7.40
